,Unnamed: 0,comment,isHate
0,0,know womens sports joke,1.0
1,1,look like sloth deeper downs syndrome,1.0
2,2,look like russian speak like indian disgusting go kill,1.0
3,3,women deserve abused guess,1.0
4,4,women made making babies cooking dinner nothing else,1.0
5,5,havent faggots taken bipill yet,1.0
6,6,dont go beck god murder christianity joke,1.0
7,7,african american monkey hold gun like,1.0
8,8,bulgaria exist country one homosexual ones,1.0
9,9,negroes tear neighborhoods black thug gets killed law enforcement must low iq,1.0
10,10,gives aa fuck shit diamonds jews fuck,1.0
11,11,think cunt wtf stay steady aim head little christian rat,1.0
12,12,white people shit human beings,1.0
13,13,happened good old days freaks exist sewer freaks dragged manufactured group freaks want cut cocks take arse hope world treat woman takes woman stop pandering twats,1.0
14,14,global massacre men pussiezzz girls,1.0
15,15,disgusting man disgusting religion admits muslim buy wifes pffthis muslims poorislam keeps stupid,1.0
16,16,well clear europeans cant differ niggers shitskins human,1.0
17,17,well im glad live serbia migrants islamists welcome,1.0
18,18,well done slovakia god bless build mosques allow recognise islam get point europe dont want muslims,1.0
19,19,whites higher iqs blacks iq measures intelligence evolved superior race larger brain,1.0
20,20,take everyone sudanese niggers egyptian shitskins palirats syrian iraqi scums theyre dogs behave like niggers cost much especially syrians way many arrogant ungrateful backstabbing apes,1.0
21,21,need nazi party returnget another hitlerand form ssand start ethnic cleansing muslimsyes yesgather upput concentration campthen put muslim refugees ship send back thier countries want therelive thier ways thier ridiculous laws don√¢¬ä¬ôt assimilate new western countriesand try dictate us even remove jesus schools public areasare fucking seriousfuck dirty smelling muslims stop dictating cant countries√∞¬ü¬ò¬°√∞¬ü¬ò¬°√∞¬ü¬ò¬°√∞¬ü¬ò¬°√∞¬ü¬ò¬°√∞¬ü¬ò¬°√∞¬ü¬ò¬° people power must rise say enough enoughtake sweden back swedestake greece back greekstake germany backtake poland backtake denmark backsave countriesand take europe back introduce anssstyle policeand clean streets ghettosfull dirty muslimsits governments fault allowing ths shit happensend military insend brutal police start cleaning countries europe muslims invading europe allowing happen ancient times even years ago islam invaded europeit would war bring back crusaders √¢¬ä¬ò ss √¢¬ä¬òstyle nazi police must unite stand protect democratic countries laws waysand eliminate islam throw dirty smelling muslimanimals send back countries live wishthey fuck goats rape women fucking disgusting muslimslow life dirty raceand islam nit gods religionits cultits ridiculous unethical imoral cult √∞¬ü¬ò¬à√∞¬ü¬ò¬à satins worksatins preachings godthe creator universedoes preach kill infidels kill non believers wives commit pedophiliaand marry year old little girls muslimswho never contributed humanitynever invented anything nothing positive comes islamthey created nothinginvented nothingcontributed nothing human race muslims live western democratic countriesenjoy ways milk welfare systemand ruin countriescreate problemsfightsteal create crimescare peopletr chage western way life even rape women fuck cocksuckersburn allimpale themwe must fight back unite clean europe soon god send true messengerto planet earth √∞¬ü¬å¬ègod send clear message humanity muslim people feel wrath god suffer consequencesmuslims suffer lose invasion europeans win take back europe beginning new crusadeschristianity vs islamthe crusaders islam need fight protect way life democratic society√∞¬ü¬á¬™√∞¬ü¬á¬∫√∞¬ü¬á¬™√∞¬ü¬á¬∫√∞¬ü¬á¬™√∞¬ü¬á¬∫√∞¬ü¬á¬™√∞¬ü¬á¬∫√∞¬ü¬á¬™√∞¬ü¬á¬∫√∞¬ü¬á¬™√∞¬ü¬á¬∫√∞¬ü¬á¬™√∞¬ü¬á¬∫√∞¬ü¬á¬™√∞¬ü¬á¬∫√¢¬ö¬î√ø¬∏¬è√¢¬ö¬î√ø¬∏¬è√¢¬ö¬î√ø¬∏¬è√¢¬ö¬î√ø¬∏¬è√¢¬ö¬î√ø¬∏¬è√¢¬ö¬î√ø¬∏¬è√∞¬ü¬ó¬°√∞¬ü¬ó¬°√∞¬ü¬ó¬°√∞¬ü¬ó¬°,1.0
22,22,men enjoy reproductive rights paying abortion right fund planned parenthood right overpay obama care fund contraception promiscuous sluts get pregnant fault nobody elses left wing liberal piece shit go whore keep spreading disease half black women herpes right pay outrageous,1.0
23,23,watching kid trying step walk crutches best thing world idiot,1.0
24,24,u suck shit black fuck,1.0
25,25,transgenders need helpthey sick head civilization messed world soon enough people claim right change animals seen human rights right choose,1.0
26,26,trans using logic feminists using decades destroy men dont feel sorry wamen one bit,1.0
27,27,time nuke china unleash plague,1.0
28,28,throwing stones paraplegic kids favourite hobby,1.0
29,29,shit guy boxed head thrown top windowfuck peoado muhamed islam,1.0
30,30,sick disgusting white terroristfascist killed innocent people,1.0
31,31,priest hated even stupid god,1.0
32,32,korean bitch like pig thats made army sumos shithole country,1.0
33,33,sinful says bible dumb fucktards stop saying go heaven gay go heaven trust fucking choice gf dated girls nd bf dated like girls straight change right side,1.0
34,34,exactly feel like see tranny like disgusting af,1.0
35,35,considered white sweden wonder accepted black muslim immigrants literally color blind,1.0
36,36,homo faggot spike lee wore flopscers notice blatant subliminal messages,1.0
37,37,fcking jew wants money ill give dick wants,1.0
38,38,insolent parasites always bear ill christ jewish race plague,1.0
39,39,women arent autistic smart autistic people retards make weird noises flap hands people autistic,1.0
40,40,people fucking animals never change cultures simply compatible definitely rape culture it√¢¬ä¬ôs right islam,1.0
41,41,clearly written quran person follow quran called kafir kill get hours islam terrorism,1.0
42,42,world would better without white people stole black egyptians christ ages poor wasnt whites ruins everything black peoplewhite people pig dicks shape hips booty get plastic surgery us blacks get mother whites brought skin cancer america learn facts try run us america yall racist ass smelly crackers dont say beat ass cant wan na find drop adress√∞¬ü¬ü¬ó√ø¬∏¬è√∞¬ü¬í¬ø√∞¬ü¬ô¬ç,1.0
43,43,reason see indians bashing muslims islam hindu supremacists hate islam muslims atrocities kashmir cow lynching muslims gang rapes muslims children read heard clear muslims across world india friend islam muslims behind disguise secularism hate muslims arab muslim countries residents see understand ugly face racist hindus overwhelming majority india number votes cast bjprss party proof amazes saudi arabia gulf countries spending billions india seeing much hate islam muslims particularly arabs wake canât understand make let muslims united boycott indian products restaurants movies stop killing muslims kashmir rest india make law stop anti muslim hate racism,1.0
44,44,thing repulsive nigger nigger faggot selfhating whites shower images crossdressed niggers praise modern left fetishizes forms depravity,1.0
45,45,men turtlesidiots even uk get lost,1.0
46,46,guy feel shame gay wrong choice bad influence young people never seen proud gay like saying proud rapist awful time disappointed trump political pressure failed stand ground right thing,1.0
47,47,girl still need good ass whooping stupid ass bitch,1.0
48,48,fucking black cunt gets fucking cross hairs fucking head look owe shit anyone dosent owe look whore fuck death percentile falling whore black racist whore take red pill,1.0
49,49,teaching kids transgenders anything mentally ill get set fire,1.0
50,50,taliban people thought must hanged,1.0
51,51,surprised burqa banned belgium poland much lookeddown upon kill,1.0
52,52,support china also fight cancer religion xinjiang despite differences two races one unite enemy islam,1.0
53,53,stupid ugly asian tan ass snitch,1.0
54,54,stupid black womenif restaurant would whipped ass,1.0
55,55,stone throwing must legal women,1.0
